,City,Country,Lat,Lng,Hotel Name
201,luanda,AO,-8.83,13.24,Golden Park Hotel
202,rio gallegos,AR,-51.62,-69.22,Hotel Patagonia
203,namatanai,PG,-3.66,152.44,Namatanai Hotel
204,severo-kurilsk,RU,50.68,156.12,Kak Doma
205,hutang,CN,29.22,119.85,
206,namioka,JP,40.71,140.59,
207,mnogovershinnyy,RU,53.94,139.92,
208,san rafael del sur,NI,11.85,-86.44,
209,paamiut,GL,61.99,-49.67,Yeet Hotel
210,ribeira grande,PT,38.52,-28.7,Quinta Das Buganvílias
211,labuhan,ID,-2.54,115.51,
212,mount gambier,AU,-37.83,140.78,Commodore on the Park
213,pesca,CO,5.56,-73.05,Posada el portal de la Loma
214,mount isa,AU,-20.73,139.49,Abacus Motel
215,le port,FR,42.87,1.37,Les Deux Vélos Cycle Lodge
216,hobart,AU,-42.88,147.33,Hotel Grand Chancellor Hobart
217,dublin,IE,53.35,-6.26,Clontarf Castle Hotel
218,salalah,OM,17.01,54.1,Al Baleed Resort Salalah by Anantara
219,beisfjord,NO,68.38,17.6,
220,ust-tsilma,RU,65.44,52.15,
221,marawi,PH,8.0,124.29,Marawi Resort Hotel
222,samana,EC,0.12,-76.97,LA QUINTA PRIMAVERA
223,koronowo,PL,53.31,17.94,
224,ekimchan,RU,53.07,132.94,
225,carnarvon,ZA,-30.97,22.13,Lord Carnarvon Guesthouse
226,saint-denis,FR,48.94,2.36,L'imprimerie hôtel
227,tabas,IR,33.6,56.92,Amir hotel
228,san pedro,AR,-33.68,-59.66,Howard Johnson Hotel & Marinas San Pedro Resort
229,aketi,CD,2.74,23.78,
230,moses lake,US,47.13,-119.28,Best Western Plus Lake Front Hotel
231,mocuba,MZ,-16.84,36.99,ROYAL STAR GUEST HOUSE
232,hamilton,CA,43.26,-79.87,Sheraton Hamilton Hotel
233,san juan del sur,NI,11.25,-85.87,Dreamsea Surf Resort Nicaragua
234,katobu,ID,-4.94,122.53,Balai Desa Kafofo
235,banjar,ID,-7.37,108.54,RedDoorz @ Cisaga
236,provideniya,RU,64.42,-173.23,
237,andradas,BR,-22.07,-46.57,Hotel Dela Inn
238,bose,IT,45.46,8.01,Casa del Movimento Lento
239,manzhouli,CN,49.6,117.43,Manzhouli Shangri-La Hotel
240,lockhart,AU,-35.22,146.72,Commercial Hotel
241,anadyr,RU,64.73,177.51,Chukotka hotel
242,bandarbeyla,SO,9.49,50.81,REER XOOSHLE GROUP
243,buchach,UA,49.06,25.39,Mandry
244,pasni,PK,25.26,63.48,3G hotel pasni
245,tuktoyaktuk,CA,69.44,-133.03,Smitty's Bed and Breakfast
246,okha,RU,53.59,142.95,Empire Hotel
247,puerto escondido,MX,15.86,-97.07,Aldea del Bazar Hotel and Spa
248,ancud,CL,-41.87,-73.83,Panamericana Hotel Ancud
249,lebu,ET,8.96,38.73,Damu Hotel
250,port lincoln,AU,-34.72,135.86,Hotel Boston
251,leningradskiy,RU,69.38,178.42,
252,kajaani,FI,64.22,27.73,Julian palvelu
253,murray bridge,AU,-35.12,139.28,Adelaide Road Motor Lodge
254,rocha,UY,-34.48,-54.34,Beleza Pura B&B
255,tagusao,PH,9.19,117.81,
256,cobija,BR,-11.02,-68.77,Brasiléia Palace Hotel
257,port-gentil,GA,-0.72,8.78,Hotel du Parc
258,te anau,NZ,-45.41,167.72,Lakefront Lodge
259,hami,CN,42.84,93.51,Hehe Commercial Hotel
260,pahrump,US,36.21,-115.98,Pahrump Nugget
261,fort frances,CA,48.61,-93.4,Copper River Inn
262,umtata,ZA,-31.59,28.78,Mayfair Hotel
263,markova,RU,52.21,104.21,Hotel Soyuz
264,saint-leu,RE,-21.15,55.28,Iloha Seaview Hotel
265,jalu,LY,29.03,21.55,Jalu Hotel
266,alice springs,AU,-23.7,133.88,DoubleTree by Hilton Hotel Alice Springs
267,zaraza,VE,9.35,-65.33,El Gran Hotel Unare
268,dingle,PH,11.0,122.67,
269,bodden town,KY,19.28,-81.25,Turtle Nest Inn
270,griffith,AU,-34.29,146.06,The Griff Motel
271,coihaique,CL,-45.58,-72.07,Hotel Dreams de la Patagonia
272,sao felix do xingu,BR,-6.64,-51.99,Dumont Palace Hotel
273,santa rosa,AR,-36.62,-64.29,Hotel Mercure Santa Rosa La Pampa
274,goderich,CA,43.74,-81.71,Samuels Hotel
275,vila velha,BR,-3.71,-38.6,Hotel Iparana Paradise
276,rabo de peixe,PT,37.8,-25.58,Pedras do Mar Resort & SPA
277,soyo,AO,-6.13,12.37,Kinwica
278,cayenne,GF,4.94,-52.33,Grand Hotel Montabo
279,saldanha,PT,41.42,-6.55,
280,santa ines,EC,-0.82,-78.63,Hacienda Hato Verde
281,hasaki,JP,35.73,140.83,Inubosaki Kanko Hotel
282,slave lake,CA,55.28,-114.77,Lakeview Inns & Suites - Slave Lake
283,christchurch,NZ,-43.53,172.64,BreakFree on Cashel Christchurch
284,kibakwe,TZ,-6.71,36.37,
285,luderitz,,-26.65,15.16,LÜDERITZ NEST HOTEL
286,san andres,PH,13.32,122.68,Trishcia's Guest House
287,pangnirtung,CA,66.15,-65.72,Auyuittuq Lodge (Inns North)
288,san quintin,PH,17.54,120.52,
289,union,US,47.36,-123.1,Robin Hood Village Resort
290,dudinka,RU,69.41,86.18,Hotel Viktoria
291,florida,CU,21.53,-78.23,Hotel Florida
292,madikeri,IN,12.42,75.74,Club Mahindra Madikeri Resort In Coorg
293,esperance,TT,10.24,-61.45,Bentley 24hr Room Accommodation
294,takoradi,GH,4.89,-1.75,Protea Hotel by Marriott Takoradi Select
295,lokomotivnyy,RU,53.01,60.57,Gostinitsa Lyuks
296,khash,IR,28.22,61.21,
297,mogok,MM,22.92,96.51,Mount Mogok Hotel
298,mikkeli,FI,61.69,27.27,"Original Sokos Hotel Vaakuna, Mikkeli"
299,jiuquan,CN,39.73,98.49,Longteng Hotel
300,betafo,MG,-19.84,46.86,
301,aitape,PG,-3.15,142.36,
302,alofi,NU,-19.06,-169.92,Taloa Heights
303,yulara,AU,-25.24,130.99,Sails in the Desert
304,kvarkeno,RU,52.08,59.73,"Ooo ""Kvarkeno"""
305,salinopolis,BR,-0.61,-47.36,Hotel Concha do Mar
306,chunhuhub,MX,19.59,-88.59,
307,dunedin,NZ,-45.87,170.5,Distinction Dunedin Hotel
308,nioro,GM,13.79,-15.05,
309,upernavik,GL,72.79,-56.15,Café de Upernavik
310,airai,TL,-8.93,125.41,
311,balkanabat,TM,39.51,54.36,Nebitchi Hotel
312,syumsi,RU,57.11,51.61,"Gostinitsa ""Polar"""
313,loukhi,RU,66.08,33.04,Remstroyrekonstruktsiya
314,baruun-urt,MN,46.68,113.28,Эрхэт зочид буудал
315,miraflores,CO,5.2,-73.14,"Hotel Yanuba, Miraflores"
316,gunjur,GM,13.18,-16.76,Explorers home
317,wajima,JP,37.4,136.9,Wajiima Onsen Yashio
318,buala,SB,-8.15,159.59,Maringe Lagoon Lodge
319,acari,BR,-6.44,-36.64,Pousada Gargalheiras
320,banfora,BF,10.64,-4.75,HOTEL CASCADES PALACE
321,mandera,ET,3.94,41.86,Granada Hotel Mandera
322,tshikapa,CD,-6.42,20.79,Hotel Paradis
323,juneau,US,58.3,-134.42,Four Points by Sheraton Juneau
324,sidney,US,47.72,-104.16,Holiday Inn Express & Suites Sidney
325,edd,ER,13.93,41.69,
326,cockburn town,TC,21.46,-71.14,Bohio Dive Resort
327,kizukuri,JP,40.81,140.39,Hotel Sunroute Goshogawara
328,vung tau,VN,10.35,107.08,The IMPERIAL Hotel
329,mahon,IE,51.89,-8.4,The Montenotte Hotel
330,biltine,TD,14.53,20.93,
331,ishigaki,JP,24.34,124.16,フサキビーチリゾート ホテル＆ヴィラズ
332,morant bay,JM,17.88,-76.41,Golden Shore Resort
333,raduzhnyy,RU,62.1,77.47,Gostiny Dvor Evgeniya
334,san patricio,PY,-26.98,-56.83,
335,hulan ergi,CN,47.2,123.63,Zhongtian Hotel
336,thayetmyo,MM,19.32,95.18,Ngwe Sin Kyal Guest House unit 2
337,acapulco,MX,16.86,-99.88,Hotel Elcano Acapulco
338,port shepstone,ZA,-30.74,30.45,Ambleside
339,tautira,PF,-17.73,-149.15,
340,la libertad,PE,-16.38,-71.56,Sonesta Hotel Arequipa
341,raymond,US,43.04,-71.18,Onway Lake Family Resort
342,road town,VG,18.42,-64.62,Wyndham Tortola BVI Lambert Beach Resort
343,yar-sale,RU,66.83,70.83,"Hotel ""Nord House"""
344,iwanai,JP,42.97,140.51,いわない高原ホテル
345,eseka,CM,3.65,10.77,Hotel Eseka Palace
346,chiredzi,ZW,-21.05,31.67,The Nesbitt Arms
347,tigil,RU,57.8,158.67,
348,avera,US,33.19,-82.53,
349,muzhi,RU,65.4,64.7,
350,komsomolskiy,RU,67.55,63.78,
351,chapais,CA,49.78,-74.86,Hôtel Opémiska
352,biak,ID,-0.91,122.88,
353,darhan,MN,49.49,105.92,Buudai Hotel
354,daru,SL,7.99,-10.85,
355,onokhoy,RU,51.92,108.05,
356,leh,IN,34.16,77.58,The Grand Dragon Ladakh
357,banda aceh,ID,5.56,95.32,Hermes Palace Hotel Banda Aceh
358,alyangula,AU,-13.85,136.42,Groote Eylandt Lodge
359,sorland,NO,67.67,12.69,Lofoten Værøy Brygge
360,fort nelson,CA,58.81,-122.69,Lakeview Inns & Suites - Fort Nelson
361,boyolangu,ID,-8.09,111.9,Crown Victoria Hotel
362,datong,CN,40.09,113.3,Garden Hotel
363,vila franca do campo,PT,37.72,-25.43,Pestana Bahia Praia
364,akureyri,IS,65.68,-18.09,Hotel Akureyri
365,ulladulla,AU,-35.36,150.48,Bannisters Pavilion
366,ust-barguzin,RU,53.41,109.03,Alexander Beketov Guesthouse
367,pampierstad,ZA,-27.78,24.69,
368,zyryanovsk,KZ,49.74,84.27,Malaya Gostinitsa
369,cooma,AU,-36.24,149.13,Swiss Motel
370,sfantu gheorghe,RO,44.65,26.83,Motel Valentina
371,carballo,ES,43.21,-8.69,Pazo do Souto
372,shimoda,JP,34.7,138.93,Hotel Izukyu
373,novonukutskiy,RU,53.7,102.71,Gostinitsa
374,reguengos de monsaraz,PT,38.42,-7.53,Solar De Alqueva
375,ocean city,US,30.44,-86.61,The Island Ft Walton Destin by Hotel RL
376,qinhuangdao,CN,39.94,119.59,"Shangri-la Hotel,Qinhuangdao"
377,muskegon,US,43.23,-86.25,"Shoreline Inn & Conference C, Ascend Hotel Collection"
378,kargasok,RU,59.06,80.87,Gostinitsa Grenada
379,auki,NG,12.18,6.51,
380,kayseri,TR,38.73,35.48,Radisson Blu Hotel Kayseri
381,quanzhou,CN,24.9,118.59,InterContinental Quanzhou
382,nago,IT,45.88,10.89,Hotel Lake Garda
383,medicine hat,CA,50.04,-110.68,HomeStay Inn & Suites
384,cherskiy,RU,68.75,161.3,
385,santa maria,BR,-29.69,-53.81,Hotel Appel
386,north bend,US,43.41,-124.22,Best Western Holiday Hotel
387,el alto,BO,-16.5,-68.19,Paitití Hostel
388,geraldton,CA,49.72,-86.95,Between Bridges Inn
389,souillac,FR,45.6,-0.6,Jolysable
390,la ronge,CA,55.1,-105.3,The Harbour Inn
391,namibe,AO,-15.19,12.15,Hotel ibis Styles Iu Namibe
392,westport,IE,53.8,-9.52,The Castlecourt Hotel
393,juiz de fora,BR,-21.76,-43.35,Hotel ibis Juiz de Fora
394,lagos,NG,6.46,3.39,Eko Hotels & Suites
395,half moon bay,US,37.46,-122.43,Beach House - Half Moon Bay
396,nelson bay,AU,-32.72,152.14,The Anchorage Port Stephens Hotel & Spa
397,tuatapere,NZ,-46.13,167.69,Last Light Lodge
398,grindavik,IS,63.84,-22.43,Mar Guesthouse
399,xining,CN,36.62,101.77,Sofitel Xining
400,kieta,PG,-6.22,155.63,
401,kalabo,ZM,-15.0,22.67,HM Sams Lodge
402,sambava,MG,-14.27,50.17,Carrefour
403,wawa,NG,9.9,4.41,
404,manama,AE,25.33,56.02,اوتيل City Stay
405,labuan,BN,5.28,115.24,Hotel Labuan Point
406,wexford,US,40.63,-80.06,DoubleTree by Hilton Hotel Pittsburgh - Cranberry
407,kyren,RU,51.68,102.13,Tunka-350
408,boquira,BR,-12.82,-42.73,Cristal Palace Hotel
409,bathsheba,BB,13.22,-59.52,Atlantis Hotel
410,ogbomosho,NG,8.13,4.25,Ragaray Executive Suites
411,longyearbyen,NO,78.22,15.63,"Radisson Blu Polar Hotel, Spitsbergen"
412,diu,IN,20.71,70.98,Hotel TGH - The Grand Highness
413,shebalino,RU,51.29,85.68,"База отдыха ""Динамо"" Семинский перевал"
414,kalat,PK,29.03,66.58,Sarwary Hotel
415,hare bay,CA,48.86,-53.99,
416,kirkuk,IQ,35.47,44.4,Kirkuk Plaza Hotel
417,tabou,CI,4.42,-7.36,hotêl doufoulougou
418,ahipara,NZ,-35.17,173.16,The Huts
419,byron bay,AU,-28.65,153.62,Bayhaven Lodge
420,isangel,VU,-19.55,169.27,Apera Beach Front Bungalows
421,saint-joseph,FR,43.56,6.97,InterContinental Carlton Cannes
422,susuman,RU,62.78,148.15,"Oao ""Susumanzoloto"""
423,plattling,DE,48.78,12.88,Hotel Liebl
424,arenapolis,BR,-14.45,-56.85,Hotel Karysmã
425,tocopilla,CL,-22.09,-70.2,Hotel Royal Tocopilla
426,arroyo,US,41.39,-78.88,
427,hastings,NZ,-39.64,176.84,Mangapapa Hotel
428,okhotsk,RU,59.36,143.24,Prozhivaniye V Okhotske
429,maniitsoq,GL,65.42,-52.9,Hotel Maniitsoq
430,meulaboh,ID,4.14,96.13,Hotel Meuligoe
431,cartagena del chaira,CO,1.33,-74.84,HOTEL LA ROCA
432,macau,BR,-5.11,-36.64,Hotel Gamboa
433,svodin,SK,47.91,18.5,
434,victoria,BN,5.28,115.24,Hotel Labuan Point
435,dong xoai,VN,11.53,106.92,Ban Mai Hotel
436,zaysan,KZ,47.47,84.87,Rahat Hotel
437,sioux lookout,CA,50.1,-91.92,Sunset Inn & Suites
438,waipawa,NZ,-39.94,176.59,The Old Lodge B&B
439,vila do maio,CV,15.13,-23.22,Kaza Tropikal
440,brae,GB,60.4,-1.35,Busta House Hotel
441,russkiy aktash,RU,55.04,52.12,Gostinitsa Ivushka
442,kokstad,ZA,-30.55,29.42,The Old Orchard Guest House
443,lucapa,AO,-8.42,20.74,
444,birjand,IR,32.86,59.22,Sepehr Hotel
445,ingham,AU,-18.65,146.16,Lees Hotel
446,henties bay,,-22.12,14.28,Desert Rendezvous
447,tilichiki,RU,60.47,166.1,
448,doha,QA,25.29,51.53,Ezdan Hotel
449,makakilo city,US,21.35,-158.09,"Aulani, A Disney Resort & Spa"
450,lorengau,PG,-2.02,147.27,Seeadler Bay Hotel
451,anan,JP,33.91,134.64,Hotel Route Inn Anan
452,synya,RU,65.37,58.04,
453,thanatpin,MM,17.29,96.58,
454,altagracia de orituco,VE,9.86,-66.38,Hotel la Avenida
455,anqing,CN,30.51,117.04,Nanxiang Barony Hotel
456,nome,US,30.04,-94.42,
457,lahaina,US,20.87,-156.68,Hyatt Regency Maui Resort And Spa
458,hereford,GB,52.06,-2.72,The Old Vicarage
459,san ramon de la nueva oran,AR,-23.13,-64.33,Hotel Iruya
460,manuk mangkaw,PH,4.8,119.85,
461,prainha,BR,-1.8,-53.48,Hotel Amazonas
462,pacific grove,US,36.62,-121.92,Lighthouse Lodge & Cottages
463,tam ky,VN,15.57,108.48,Muong Thanh Grand Quang Nam Hotel
464,atasu,KZ,48.68,71.64,
465,seshcha,RU,53.73,33.34,
466,norilsk,RU,69.35,88.2,Hostels Rus - Norilsk
467,los teques,VE,10.35,-67.04,
468,san cristobal,EC,-0.39,-78.55,Sierra Alisos Hotel de Campo
469,san ramon,NI,12.92,-85.84,Tierra Alta Ecolodge
470,horta,ES,41.43,2.16,Hotel Novotel Barcelona City
471,poum,MK,41.28,20.71,
472,sawtell,AU,-30.38,153.1,BIG4 Sawtell Beach Holiday Park
473,seoul,KR,37.57,126.98,Nine Tree Premier Hotel Myeongdong II
474,plettenberg bay,ZA,-34.05,23.37,The Plettenberg Hotel
